tcid,id,family_id,family,superfamily,description
1.A.14.1,50,1.A.14,formerly the Testis-Enhanced Gene Transfer (TEGT,,The Calcium Transporter A (CaTA) Family (formerly the Testis-Enhanced Gene Transfer (TEGT) Family)
1.A.14.2,51,1.A.14,formerly the Testis-Enhanced Gene Transfer (TEGT,,The Calcium Transporter A (CaTA) Family (formerly the Testis-Enhanced Gene Transfer (TEGT) Family)
1.A.14.3,52,1.A.14,formerly the Testis-Enhanced Gene Transfer (TEGT,,The Calcium Transporter A (CaTA) Family (formerly the Testis-Enhanced Gene Transfer (TEGT) Family)
1.A.141.1,53,1.A.141,CBASS-CCE,,The Cyclic Oligonucleotide-based Antiphage Signaling System  Cl- Channel Effector (CBASS-CCE) Family
1.A.147.1,54,1.A.147,Cam1,,"The CRISPR Effector, an Ion Channel Protein, Cam1 (Cam1) Family"
1.A.15.1,55,1.A.15,NSCC2,,The Non-selective Cation Channel-2 (NSCC2) Family
1.A.152.1,56,1.A.152,PICR,Odorant Receptor Channel,The Putative Ion Channel-Receptor (PICR) Family
1.A.16.2,57,1.A.16,FNT,Major Intrinsic Protein (MIP) Superfamily,The Formate-Nitrite Transporter (FNT) Family
1.A.16.3,58,1.A.16,FNT,Major Intrinsic Protein (MIP) Superfamily,The Formate-Nitrite Transporter (FNT) Family
1.A.17.1,59,1.A.17,Ca-ClC,Anoctamin Superfamily,The Calcium-dependent Chloride Channel (Ca-ClC) Family
1.A.17.3,60,1.A.17,Ca-ClC,Anoctamin Superfamily,The Calcium-dependent Chloride Channel (Ca-ClC) Family
1.A.17.4,61,1.A.17,Ca-ClC,Anoctamin Superfamily,The Calcium-dependent Chloride Channel (Ca-ClC) Family
1.A.17.5,62,1.A.17,Ca-ClC,Anoctamin Superfamily,The Calcium-dependent Chloride Channel (Ca-ClC) Family
1.A.17.6,63,1.A.17,Ca-ClC,Anoctamin Superfamily,The Calcium-dependent Chloride Channel (Ca-ClC) Family
1.A.19.1,64,1.A.19,M2-C,Influenza A/B Virus M2 Protein (M2) Superfamily,The Type A Influenza Virus Matrix-2 Channel (M2-C) Family
1.A.2.1,65,1.A.2,IRK-C,VIC Superfamily,The Inward Rectifier K+ Channel (IRK-C) Family
1.A.2.2,66,1.A.2,IRK-C,VIC Superfamily,The Inward Rectifier K+ Channel (IRK-C) Family
1.A.20.1,67,1.A.20,BNip3,,The BCL2/Adenovirus E1B-interacting Protein 3 (BNip3) Family
1.A.21.1,68,1.A.21,Bcl-2,Bcl-2 Superfamily,The Bcl-2 (Bcl-2) Family
1.A.21.2,69,1.A.21,Bcl-2,Bcl-2 Superfamily,The Bcl-2 (Bcl-2) Family
1.A.22.1,70,1.A.22,MscL,,The Large Conductance Mechanosensitive Ion Channel (MscL) Family
1.A.23.2,71,1.A.23,MscS,,The Small Conductance Mechanosensitive Ion Channel (MscS) Family
1.A.23.4,72,1.A.23,MscS,,The Small Conductance Mechanosensitive Ion Channel (MscS) Family
1.A.24.1,73,1.A.24,Connexin,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily,The Gap Junction-forming Connexin (Connexin) Family
1.A.25.1,74,1.A.25,Innexin,Leucine-rich Repeat-containing Domain (LRRD) Superfamily,The Gap Junction-forming Innexin (Innexin) Family
1.A.25.2,75,1.A.25,Innexin,Leucine-rich Repeat-containing Domain (LRRD) Superfamily,The Gap Junction-forming Innexin (Innexin) Family
1.A.25.3,76,1.A.25,Innexin,Leucine-rich Repeat-containing Domain (LRRD) Superfamily,The Gap Junction-forming Innexin (Innexin) Family
1.A.26.2,77,1.A.26,MgtE,,The Mg2+ Transporter-E (MgtE) Family
1.A.27.1,78,1.A.27,PLM,Phospholemman/SIMP/Viroporin (PSV) Superfamily,The Phospholemman (PLM) Family
1.A.27.2,79,1.A.27,PLM,Phospholemman/SIMP/Viroporin (PSV) Superfamily,The Phospholemman (PLM) Family
1.A.27.3,80,1.A.27,PLM,Phospholemman/SIMP/Viroporin (PSV) Superfamily,The Phospholemman (PLM) Family
1.A.28.1,81,1.A.28,UT,Urea Transporter/Na+ Exporter (UT/RnfD/NqrB) Superfamily,The Urea Transporter (UT) Family
1.A.29.1,82,1.A.29,UAC,,The Urea/Amide Channel (UAC) Family
1.A.30.1,83,1.A.30,Mot/Exb,,The H+- or Na+-translocating Bacterial Flagellar Motor/ExbBD Outer Membrane Transport Energizer (Mot/Exb) Superfamily
1.A.30.2,84,1.A.30,Mot/Exb,,The H+- or Na+-translocating Bacterial Flagellar Motor/ExbBD Outer Membrane Transport Energizer (Mot/Exb) Superfamily
1.A.30.3,85,1.A.30,Mot/Exb,,The H+- or Na+-translocating Bacterial Flagellar Motor/ExbBD Outer Membrane Transport Energizer (Mot/Exb) Superfamily
1.A.30.6,86,1.A.30,Mot/Exb,,The H+- or Na+-translocating Bacterial Flagellar Motor/ExbBD Outer Membrane Transport Energizer (Mot/Exb) Superfamily
1.A.31.1,87,1.A.31,Annexin,,The Annexin (Annexin) Family
1.A.33.1,88,1.A.33,Hsp70,,The Cation Channel-forming Heat Shock Protein-70 (Hsp70) Family
1.A.34.1,89,1.A.34,GJ-CC,,The Bacillus Gap Junction-like Channel-forming Complex (GJ-CC) Family
1.A.35.3,90,1.A.35,MIT,,The CorA Metal Ion Transporter (MIT) Family
1.A.35.5,91,1.A.35,MIT,,The CorA Metal Ion Transporter (MIT) Family
1.A.37.6,92,1.A.37,CD20,,The CD20 Ca2+ Channel (CD20) Family
1.A.38.1,93,1.A.38,GPHR,,The Golgi pH Regulator (GPHR) Family
1.A.4.1,94,1.A.4,TRP-CC,VIC Superfamily,The Transient Receptor Potential Ca2+/Cation Channel (TRP-CC) Family
1.A.4.2,95,1.A.4,TRP-CC,VIC Superfamily,The Transient Receptor Potential Ca2+/Cation Channel (TRP-CC) Family
1.A.42.1,96,1.A.42,Vpr,,The HIV Viral Protein R (Vpr) Family
1.A.43.1,97,1.A.43,Fluc,,The Camphor Resistance or Fluoride Exporter (Fluc) Family
1.A.43.2,98,1.A.43,Fluc,,The Camphor Resistance or Fluoride Exporter (Fluc) Family
1.A.46.1,99,1.A.46,Bestrophin,,The Anion Channel-forming Bestrophin (Bestrophin) Family
1.A.46.2,100,1.A.46,Bestrophin,,The Anion Channel-forming Bestrophin (Bestrophin) Family
1.A.47.1,101,1.A.47,ICln,,"The Nucleotide-sensitive Anion-selective Channel, ICln (ICln) Family"
1.A.48.1,102,1.A.48,Tweety,,The Anion Channel Tweety (Tweety) Family
1.A.5.1,103,1.A.5,PCC,Leucine-rich Repeat-containing Domain (LRRD) Superfamily,The Polycystin Cation Channel (PCC) Family
1.A.5.2,104,1.A.5,PCC,Leucine-rich Repeat-containing Domain (LRRD) Superfamily,The Polycystin Cation Channel (PCC) Family
1.A.5.3,105,1.A.5,PCC,Leucine-rich Repeat-containing Domain (LRRD) Superfamily,The Polycystin Cation Channel (PCC) Family
1.A.50.1,106,1.A.50,PLB,,The Phospholamban (Ca2+-channel and Ca2+-ATPase Regulator) (PLB) Family
1.A.50.7,107,1.A.50,PLB,,The Phospholamban (Ca2+-channel and Ca2+-ATPase Regulator) (PLB) Family
1.A.51.1,108,1.A.51,VPC,VIC Superfamily,The Voltage-gated Proton Channel (VPC) Family
1.A.51.2,109,1.A.51,VPC,VIC Superfamily,The Voltage-gated Proton Channel (VPC) Family
1.A.52.1,110,1.A.52,CRAC-C,Cation Diffusion Facilitator  (CDF) Superfamily,The Ca2+ Release-activated Ca2+ (CRAC) Channel (CRAC-C) Family
1.A.53.1,111,1.A.53,HCV-P7,,The Hepatitis C Virus P7 Viroporin Cation-selective Channel (HCV-P7) Family
1.A.54.1,112,1.A.54,Presenilin,,The Presenilin ER Ca2+ Leak Channel (Presenilin) Family
1.A.54.3,113,1.A.54,Presenilin,,The Presenilin ER Ca2+ Leak Channel (Presenilin) Family
1.A.55.1,114,1.A.55,Flower,,"The Synaptic Vesicle-Associated Ca2+ Channel, Flower (Flower) Family"
1.A.56.1,115,1.A.56,Ctr,,The Copper Transporter (Ctr) Family
1.A.6.1,116,1.A.6,ENaC,ENaC/P2X Superfamily,The Epithelial Na+ Channel (ENaC) Family
1.A.6.2,117,1.A.6,ENaC,ENaC/P2X Superfamily,The Epithelial Na+ Channel (ENaC) Family
1.A.6.4,118,1.A.6,ENaC,ENaC/P2X Superfamily,The Epithelial Na+ Channel (ENaC) Family
1.A.62.1,119,1.A.62,TRIC,,The Homotrimeric Cation Channel (TRIC) Family
1.A.63.2,120,1.A.63,I-OMP,,The Ignicoccus Outer Membrane α-helical Porin (I-OMP) Family
1.A.64.3,121,1.A.64,Plasmolipin,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily,The Plasmolipin (Plasmolipin) Family
1.A.64.5,122,1.A.64,Plasmolipin,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily,The Plasmolipin (Plasmolipin) Family
1.A.65.1,123,1.A.65,Viroporin E,Viroporin-3 Superfamily,The Coronavirus Viroporin E Protein (Viroporin E) Family
1.A.67.1,124,1.A.67,MMgT,,The Membrane Mg2+ Transporter (MMgT) Family 
1.A.69.1,125,1.A.69,HORC,Odorant Receptor Channel,The Heteromeric Odorant Receptor Channel (HORC) Family
1.A.69.2,126,1.A.69,HORC,Odorant Receptor Channel,The Heteromeric Odorant Receptor Channel (HORC) Family
1.A.69.3,127,1.A.69,HORC,Odorant Receptor Channel,The Heteromeric Odorant Receptor Channel (HORC) Family
1.A.69.5,128,1.A.69,HORC,Odorant Receptor Channel,The Heteromeric Odorant Receptor Channel (HORC) Family
1.A.69.9,129,1.A.69,HORC,Odorant Receptor Channel,The Heteromeric Odorant Receptor Channel (HORC) Family
1.A.7.1,130,1.A.7,P2X Receptor,ENaC/P2X Superfamily,The ATP-gated P2X Receptor Cation Channel (P2X Receptor) Family
1.A.7.2,131,1.A.7,P2X Receptor,ENaC/P2X Superfamily,The ATP-gated P2X Receptor Cation Channel (P2X Receptor) Family
1.A.71.2,132,1.A.71,BASP1 Channel,,The Brain Acid-soluble Protein Channel (BASP1 Channel) Family 
1.A.72.3,133,1.A.72,Mer,Heavy Metal Binding Domain,The Mercuric Ion Pore (Mer) Superfamily
1.A.75.1,134,1.A.75,Piezo,,"The Mechanical Nociceptor, Piezo (Piezo) Family"
1.A.76.1,135,1.A.76,MagT1,,The Magnesium Transporter1 (MagT1) Family
1.A.76.2,136,1.A.76,MagT1,,The Magnesium Transporter1 (MagT1) Family
1.A.77.1,137,1.A.77,MCU,,The Mg2+/Ca2+ Uniporter (MCU) Family
1.A.77.2,138,1.A.77,MCU,,The Mg2+/Ca2+ Uniporter (MCU) Family
1.A.77.3,139,1.A.77,MCU,,The Mg2+/Ca2+ Uniporter (MCU) Family
1.A.78.2,140,1.A.78,KEL,,The K+-selective Channel in Endosomes and Lysosomes (KEL) Family
1.A.79.1,141,1.A.79,ChUP,,The Cholesterol Uptake Protein (ChUP) or Double Stranded RNA Uptake Family
1.A.8.1,142,1.A.8,MIP,Major Intrinsic Protein (MIP) Superfamily,The Major Intrinsic Protein (MIP) Family
1.A.8.10,143,1.A.8,MIP,Major Intrinsic Protein (MIP) Superfamily,The Major Intrinsic Protein (MIP) Family
1.A.8.11,144,1.A.8,MIP,Major Intrinsic Protein (MIP) Superfamily,The Major Intrinsic Protein (MIP) Family
1.A.8.12,145,1.A.8,MIP,Major Intrinsic Protein (MIP) Superfamily,The Major Intrinsic Protein (MIP) Family
1.A.8.13,146,1.A.8,MIP,Major Intrinsic Protein (MIP) Superfamily,The Major Intrinsic Protein (MIP) Family
1.A.8.2,147,1.A.8,MIP,Major Intrinsic Protein (MIP) Superfamily,The Major Intrinsic Protein (MIP) Family
1.A.8.3,148,1.A.8,MIP,Major Intrinsic Protein (MIP) Superfamily,The Major Intrinsic Protein (MIP) Family
1.A.8.4,149,1.A.8,MIP,Major Intrinsic Protein (MIP) Superfamily,The Major Intrinsic Protein (MIP) Family
1.A.8.7,150,1.A.8,MIP,Major Intrinsic Protein (MIP) Superfamily,The Major Intrinsic Protein (MIP) Family
1.A.8.8,151,1.A.8,MIP,Major Intrinsic Protein (MIP) Superfamily,The Major Intrinsic Protein (MIP) Family
1.A.8.9,152,1.A.8,MIP,Major Intrinsic Protein (MIP) Superfamily,The Major Intrinsic Protein (MIP) Family
1.A.82.1,153,1.A.82,LTSP,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily,The LHFPL Tetraspan Protein (LTSP) Family
1.A.83.1,154,1.A.83,SV40 VP2,,The SV40 Virus Viroporin VP2 (SV40 VP2) Family
1.A.84.1,155,1.A.84,CALHM-C,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily,The Calcium Homeostasis Modulator Ca2+ Channel (CALHM-C) Family
1.A.84.2,156,1.A.84,CALHM-C,Tetraspan Junctional Complex Protein or MARVEL (4JC) Superfamily,The Calcium Homeostasis Modulator Ca2+ Channel (CALHM-C) Family
1.A.87.2,157,1.A.87,MCA,Leucine-rich Repeat-containing Domain (LRRD) Superfamily,The Mechanosensitive Calcium Channel (MCA) Family
1.A.87.3,158,1.A.87,MCA,Leucine-rich Repeat-containing Domain (LRRD) Superfamily,The Mechanosensitive Calcium Channel (MCA) Family
1.A.89.1,159,1.A.89,229E Viroporin,,The Human Coronavirus 229E Viroporin (229E Viroporin) Family
1.A.9.1,160,1.A.9,LIC,,"The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family"
1.A.9.2,161,1.A.9,LIC,,"The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family"
1.A.9.3,162,1.A.9,LIC,,"The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family"
1.A.9.4,163,1.A.9,LIC,,"The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family"
1.A.9.5,164,1.A.9,LIC,,"The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family"
1.B.1.1,165,1.B.1,GBP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The General Bacterial Porin (GBP) Family
1.B.1.4,166,1.B.1,GBP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The General Bacterial Porin (GBP) Family
1.B.1.5,167,1.B.1,GBP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The General Bacterial Porin (GBP) Family
1.B.10.2,168,1.B.10,Tsx,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Nucleoside-specific Channel-forming Outer Membrane Porin (Tsx) Family
1.B.11.3,169,1.B.11,FUP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Fimbrial Usher Porin (FUP) Family
1.B.12.2,170,1.B.12,AT-1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Autotransporter-1 (AT-1) Family
1.B.14.1,171,1.B.14,OMR,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Receptor (OMR) Family
1.B.14.16,172,1.B.14,OMR,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Receptor (OMR) Family
1.B.14.2,173,1.B.14,OMR,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Receptor (OMR) Family
1.B.14.3,174,1.B.14,OMR,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Receptor (OMR) Family
1.B.14.6,175,1.B.14,OMR,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Receptor (OMR) Family
1.B.14.7,176,1.B.14,OMR,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Receptor (OMR) Family
1.B.14.8,177,1.B.14,OMR,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Receptor (OMR) Family
1.B.14.9,178,1.B.14,OMR,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Receptor (OMR) Family
1.B.16.1,179,1.B.16,SAP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Short Chain Amide and Urea Porin (SAP) Family
1.B.162.1,180,1.B.162,CBASS,,The Cyclic oligonucleotide-based Antiphage Signaling System (CBASS) Family
1.B.163.1,181,1.B.163,PorA2,,The Cell Wall Porin-2 (PorA2) Family
1.B.17.1,182,1.B.17,OMF,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Factor (OMF) Family
1.B.17.2,183,1.B.17,OMF,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Factor (OMF) Family
1.B.17.3,184,1.B.17,OMF,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Factor (OMF) Family
1.B.18.3,185,1.B.18,OMA,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Auxiliary (OMA) Protein Family
1.B.19.1,186,1.B.19,OprB,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Glucose-selective OprB Porin (OprB) Family
1.B.2.1,187,1.B.2,CP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Chlamydial Porin (CP) Family
1.B.20.1,188,1.B.20,TPS,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Two-Partner Secretion (TPS) Family
1.B.23.1,189,1.B.23,CBP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Cyanobacterial Porin (CBP) Family
1.B.23.3,190,1.B.23,CBP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Cyanobacterial Porin (CBP) Family
1.B.24.1,191,1.B.24,MBP,Outer Membrane Pore-forming Protein II (OMPP-II) Superfamily  ,The Mycobacterial Porin (MBP) Family
1.B.25.1,192,1.B.25,Opr,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Porin (Opr) Family
1.B.27.1,193,1.B.27,HOP,,The Helicobacter Outer Membrane Porin (HOP) Family
1.B.3.1,194,1.B.3,SP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Sugar Porin (SP) Family
1.B.31.1,195,1.B.31,MomP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Campylobacter jejuni Major Outer Membrane Porin (MomP) Family
1.B.33.1,196,1.B.33,OmpIP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Protein Insertion Porin (Bam Complex) (OmpIP) Family
1.B.33.2,197,1.B.33,OmpIP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Protein Insertion Porin (Bam Complex) (OmpIP) Family
1.B.33.3,198,1.B.33,OmpIP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Protein Insertion Porin (Bam Complex) (OmpIP) Family
1.B.33.4,199,1.B.33,OmpIP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Protein Insertion Porin (Bam Complex) (OmpIP) Family
1.B.35.1,200,1.B.35,KdgM,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Oligogalacturonate-specific Porin (KdgM) Family
1.B.35.2,201,1.B.35,KdgM,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Oligogalacturonate-specific Porin (KdgM) Family
1.B.38.1,202,1.B.38,TP-MSP,,The Treponema Porin Major Surface Protein (TP-MSP) Family
1.B.39.1,203,1.B.39,OmpW,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,"The Bacterial Porin, OmpW (OmpW) Family"
1.B.4.2,204,1.B.4,BRP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Brucella-Rhizobium Porin (BRP) Family
1.B.42.1,205,1.B.42,LPS-EP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Outer Membrane Lipopolysaccharide Export Porin (LPS-EP) Family
1.B.44.2,206,1.B.44,PorT,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Probable Protein Translocating Porphyromonas gingivalis Porin (PorT) Family
1.B.46.1,207,1.B.46,LolAB,,The Outer Membrane LolAB Lipoprotein Insertion Apparatus (LolAB) Family
1.B.48.1,208,1.B.48,CsgG,,"The Curli Fiber Subunit Porin, CgsA, CsgG (CsgG) Family"
1.B.49.1,209,1.B.49,A-P44,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Anaplasma P44 (A-P44) Porin Family
1.B.5.1,210,1.B.5,POP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Pseudomonas OprP Porin (POP) Family
1.B.54.1,211,1.B.54,AT-3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Intimin/Invasin (Int/Inv) or Autotransporter-3 (AT-3) Family 
1.B.58.1,212,1.B.58,NfpA/B,Outer Membrane Pore-forming Protein II (OMPP-II) Superfamily  ,The Nocardial Hetero-oligomeric Cell Wall Channel (NfpA/B) Family
1.B.59.1,213,1.B.59,PorH,Outer Membrane Pore-forming Protein V (OMPP-V) Superfamily  ,"The Outer Membrane Porin, PorH (PorH) Family"
1.B.6.1,214,1.B.6,OOP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The OmpA-OmpF Porin (OOP) Family
1.B.6.13,215,1.B.6,OOP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The OmpA-OmpF Porin (OOP) Family
1.B.6.2,216,1.B.6,OOP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The OmpA-OmpF Porin (OOP) Family
1.B.6.6,217,1.B.6,OOP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The OmpA-OmpF Porin (OOP) Family
1.B.60.1,218,1.B.60,Omp50 Porin,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Omp50 Porin (Omp50 Porin) Family
1.B.62.1,219,1.B.62,PBP,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Putative Bacterial Porin (PBP) Family
1.B.65.1,220,1.B.65,OpcA,,The Outer Membrane Porin OpcA (OpcA) Family
1.B.66.1,221,1.B.66,BBP2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily ,The Putative Beta-Barrel Porin-2 (BBP2) Family
