fasta,seq_id,length,pLDDT,pTM,pdb_path
esm3_IPR003445_mask80,A0A820RP59_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_107_prompt_len_107_gen_len_107,107,34.97,0.193,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A820RP59_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_107_prompt_len_107_gen_len_107_plddt_35.0.pdb
esm3_IPR003445_mask80,A0A1U7LWX7_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_111_prompt_len_111_gen_len_111,111,26.53,0.131,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A1U7LWX7_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_111_prompt_len_111_gen_len_111_plddt_26.5.pdb
esm3_IPR003445_mask80,A0A3P1X5J7_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_111_prompt_len_111_gen_len_111,111,50.22,0.317,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A3P1X5J7_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_111_prompt_len_111_gen_len_111_plddt_50.2.pdb
esm3_IPR003445_mask80,X1TR58_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_113_prompt_len_113_gen_len_113,113,47.84,0.279,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/X1TR58_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_113_prompt_len_113_gen_len_113_plddt_47.8.pdb
esm3_IPR003445_mask80,A0A4P0XIG5_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_117_prompt_len_117_gen_len_117,117,45.65,0.273,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A4P0XIG5_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_117_prompt_len_117_gen_len_117_plddt_45.7.pdb
esm3_IPR003445_mask80,A0A563W5M4_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_122_prompt_len_122_gen_len_122,122,39.91,0.212,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A563W5M4_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_122_prompt_len_122_gen_len_122_plddt_39.9.pdb
esm3_IPR003445_mask80,A0ABR4AHW5_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_144_prompt_len_144_gen_len_144,144,48.29,0.285,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0ABR4AHW5_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_144_prompt_len_144_gen_len_144_plddt_48.3.pdb
esm3_IPR003445_mask80,A0A8T5YRM2_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_156_prompt_len_156_gen_len_156,156,33.61,0.151,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A8T5YRM2_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_156_prompt_len_156_gen_len_156_plddt_33.6.pdb
esm3_IPR003445_mask80,A0AAJ2HK87_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_160_prompt_len_160_gen_len_160,160,60.99,0.558,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0AAJ2HK87_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_160_prompt_len_160_gen_len_160_plddt_61.0.pdb
esm3_IPR003445_mask80,A0AAW9IWD8_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_165_prompt_len_165_gen_len_165,165,83.38,0.834,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0AAW9IWD8_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_165_prompt_len_165_gen_len_165_plddt_83.4.pdb
esm3_IPR003445_mask80,W9B9A2_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_165_prompt_len_165_gen_len_165,165,71.22,0.719,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/W9B9A2_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_165_prompt_len_165_gen_len_165_plddt_71.2.pdb
esm3_IPR003445_mask80,A0A5C2LI60_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_168_prompt_len_168_gen_len_168,168,76.11,0.768,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A5C2LI60_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_168_prompt_len_168_gen_len_168_plddt_76.1.pdb
esm3_IPR003445_mask80,B9FQR5_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_171_prompt_len_171_gen_len_171,171,45.03,0.290,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/B9FQR5_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_171_prompt_len_171_gen_len_171_plddt_45.0.pdb
esm3_IPR003445_mask80,A0A7C6Z3I1_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_171_prompt_len_171_gen_len_171,171,79.81,0.814,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A7C6Z3I1_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_171_prompt_len_171_gen_len_171_plddt_79.8.pdb
esm3_IPR003445_mask80,A0A377PD67_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_179_prompt_len_179_gen_len_179,179,85.53,0.876,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A377PD67_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_179_prompt_len_179_gen_len_179_plddt_85.5.pdb
esm3_IPR003445_mask80,A0AB74CQG9_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_181_prompt_len_181_gen_len_181,181,30.50,0.200,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0AB74CQG9_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_181_prompt_len_181_gen_len_181_plddt_30.5.pdb
esm3_IPR003445_mask80,X1QXP4_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_186_prompt_len_186_gen_len_186,186,55.55,0.380,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/X1QXP4_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_186_prompt_len_186_gen_len_186_plddt_55.5.pdb
esm3_IPR003445_mask80,A0A8S7QZ62_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_187_prompt_len_187_gen_len_187,187,63.09,0.663,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A8S7QZ62_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_187_prompt_len_187_gen_len_187_plddt_63.1.pdb
esm3_IPR003445_mask80,A0ABM7GM04_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_198_prompt_len_198_gen_len_198,198,90.80,0.899,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0ABM7GM04_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_198_prompt_len_198_gen_len_198_plddt_90.8.pdb
esm3_IPR003445_mask80,A0A562JEL7_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_200_prompt_len_200_gen_len_200,200,93.82,0.934,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A562JEL7_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_200_prompt_len_200_gen_len_200_plddt_93.8.pdb
esm3_IPR003445_mask80,A0A1V2GBH6_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_211_prompt_len_211_gen_len_211,211,93.56,0.943,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A1V2GBH6_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_211_prompt_len_211_gen_len_211_plddt_93.6.pdb
esm3_IPR003445_mask80,A0A927MJM4_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_217_prompt_len_217_gen_len_217,217,93.96,0.928,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A927MJM4_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_217_prompt_len_217_gen_len_217_plddt_94.0.pdb
esm3_IPR003445_mask80,A0A724WPM1_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_220_prompt_len_220_gen_len_220,220,81.81,0.847,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A724WPM1_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_220_prompt_len_220_gen_len_220_plddt_81.8.pdb
esm3_IPR003445_mask80,A0A0U5G3L1_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_222_prompt_len_222_gen_len_222,222,38.63,0.219,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A0U5G3L1_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_222_prompt_len_222_gen_len_222_plddt_38.6.pdb
esm3_IPR003445_mask80,A0A382PR65_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_226_prompt_len_226_gen_len_226,226,85.94,0.819,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A382PR65_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_226_prompt_len_226_gen_len_226_plddt_85.9.pdb
esm3_IPR003445_mask80,X1KJU0_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_227_prompt_len_227_gen_len_227,227,50.30,0.468,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/X1KJU0_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_227_prompt_len_227_gen_len_227_plddt_50.3.pdb
esm3_IPR003445_mask80,A0A3M5T529_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_235_prompt_len_235_gen_len_235,235,92.80,0.937,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A3M5T529_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_235_prompt_len_235_gen_len_235_plddt_92.8.pdb
esm3_IPR003445_mask80,A0A376MVR4_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_255_prompt_len_255_gen_len_255,255,87.90,0.900,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A376MVR4_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_255_prompt_len_255_gen_len_255_plddt_87.9.pdb
esm3_IPR003445_mask80,A0A817A090_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_256_prompt_len_256_gen_len_256,256,31.34,0.191,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A817A090_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_256_prompt_len_256_gen_len_256_plddt_31.3.pdb
esm3_IPR003445_mask80,A0A150HMT5_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_261_prompt_len_261_gen_len_261,261,94.62,0.935,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A150HMT5_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_261_prompt_len_261_gen_len_261_plddt_94.6.pdb
esm3_IPR003445_mask80,A0A8X6IH43_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_241_prompt_len_241_gen_len_241,241,41.28,0.276,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A8X6IH43_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_241_prompt_len_241_gen_len_241_plddt_41.3.pdb
esm3_IPR003445_mask80,A0A3P1Y8W8_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_248_prompt_len_248_gen_len_248,248,81.93,0.853,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A3P1Y8W8_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_248_prompt_len_248_gen_len_248_plddt_81.9.pdb
esm3_IPR003445_mask80,A0A4U3MQM8_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_251_prompt_len_251_gen_len_251,251,93.32,0.942,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A4U3MQM8_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_251_prompt_len_251_gen_len_251_plddt_93.3.pdb
esm3_IPR003445_mask80,K1TQR9_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_253_prompt_len_253_gen_len_253,253,88.94,0.873,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/K1TQR9_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_253_prompt_len_253_gen_len_253_plddt_88.9.pdb
esm3_IPR003445_mask80,A0AAN7ZR66_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_284_prompt_len_284_gen_len_284,284,56.25,0.464,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0AAN7ZR66_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_284_prompt_len_284_gen_len_284_plddt_56.2.pdb
esm3_IPR003445_mask80,A0A380DN77_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_290_prompt_len_290_gen_len_290,290,86.16,0.880,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A380DN77_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_290_prompt_len_290_gen_len_290_plddt_86.2.pdb
esm3_IPR003445_mask80,A0AAW2U1B1_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_298_prompt_len_298_gen_len_298,298,42.64,0.310,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0AAW2U1B1_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_298_prompt_len_298_gen_len_298_plddt_42.6.pdb
esm3_IPR003445_mask80,A0A6J1BZB5_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_303_prompt_len_303_gen_len_303,303,82.90,0.816,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A6J1BZB5_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_303_prompt_len_303_gen_len_303_plddt_82.9.pdb
esm3_IPR003445_mask80,A0A8S3H7K3_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_305_prompt_len_305_gen_len_305,305,42.21,0.376,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A8S3H7K3_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_305_prompt_len_305_gen_len_305_plddt_42.2.pdb
esm3_IPR003445_mask80,A0A8T0C5Z9_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_310_prompt_len_310_gen_len_310,310,77.30,0.840,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A8T0C5Z9_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_310_prompt_len_310_gen_len_310_plddt_77.3.pdb
esm3_IPR003445_mask80,A0A5C4N9U1_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_344_prompt_len_344_gen_len_344,344,43.55,0.448,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A5C4N9U1_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_344_prompt_len_344_gen_len_344_plddt_43.6.pdb
esm3_IPR003445_mask80,A0AAD6G346_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_350_prompt_len_350_gen_len_350,350,42.57,0.273,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0AAD6G346_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_350_prompt_len_350_gen_len_350_plddt_42.6.pdb
esm3_IPR003445_mask80,A0ABD1R0H3_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_321_prompt_len_321_gen_len_321,321,50.85,0.281,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0ABD1R0H3_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_321_prompt_len_321_gen_len_321_plddt_50.8.pdb
esm3_IPR003445_mask80,G4D2P8_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_321_prompt_len_321_gen_len_321,321,89.76,0.921,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/G4D2P8_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_321_prompt_len_321_gen_len_321_plddt_89.8.pdb
esm3_IPR003445_mask80,A0A8S3HK36_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_335_prompt_len_335_gen_len_335,335,45.89,0.270,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A8S3HK36_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_335_prompt_len_335_gen_len_335_plddt_45.9.pdb
esm3_IPR003445_mask80,M1FW50_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_354_prompt_len_354_gen_len_354,354,60.09,0.542,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/M1FW50_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_354_prompt_len_354_gen_len_354_plddt_60.1.pdb
esm3_IPR003445_mask80,A0A521ES71_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_361_prompt_len_361_gen_len_361,361,89.94,0.914,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A521ES71_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_361_prompt_len_361_gen_len_361_plddt_89.9.pdb
esm3_IPR003445_mask80,A0A655CZP6_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_366_prompt_len_366_gen_len_366,366,90.19,0.945,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A655CZP6_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_366_prompt_len_366_gen_len_366_plddt_90.2.pdb
esm3_IPR003445_mask80,A0A840WKZ3_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_393_prompt_len_393_gen_len_393,393,79.71,0.833,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A840WKZ3_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_393_prompt_len_393_gen_len_393_plddt_79.7.pdb
esm3_IPR003445_mask80,A0ABD3L1L7_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_402_prompt_len_402_gen_len_402,402,38.82,0.211,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0ABD3L1L7_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_402_prompt_len_402_gen_len_402_plddt_38.8.pdb
esm3_IPR003445_mask80,A0A9D9E7K4_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_409_prompt_len_409_gen_len_409,409,90.22,0.936,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A9D9E7K4_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_409_prompt_len_409_gen_len_409_plddt_90.2.pdb
esm3_IPR003445_mask80,A0A655YSK2_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_411_prompt_len_411_gen_len_411,411,90.03,0.950,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A655YSK2_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_411_prompt_len_411_gen_len_411_plddt_90.0.pdb
esm3_IPR003445_mask80,A0A239YZQ9_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_413_prompt_len_413_gen_len_413,413,90.57,0.933,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A239YZQ9_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_413_prompt_len_413_gen_len_413_plddt_90.6.pdb
esm3_IPR003445_mask80,A0A022KY33_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_414_prompt_len_414_gen_len_414,414,90.42,0.935,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A022KY33_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_414_prompt_len_414_gen_len_414_plddt_90.4.pdb
esm3_IPR003445_mask80,A0A0A0LX03_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_417_prompt_len_417_gen_len_417,417,46.78,0.432,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A0A0LX03_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_417_prompt_len_417_gen_len_417_plddt_46.8.pdb
esm3_IPR003445_mask80,A0ABT8HRF9_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_418_prompt_len_418_gen_len_418,418,94.37,0.959,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0ABT8HRF9_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_418_prompt_len_418_gen_len_418_plddt_94.4.pdb
esm3_IPR003445_mask80,A0A5D4KG51_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_418_prompt_len_418_gen_len_418,418,93.61,0.967,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A5D4KG51_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_418_prompt_len_418_gen_len_418_plddt_93.6.pdb
